商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"大丰斋精装糯米烧麦500g*2袋早餐速食冷冻面食半成品纸皮烧卖",39.9,20.0%,7.98,已售：181,结束：2025-03-06,,,大丰斋旗舰店,4.99,4.75,4.65,2023-04-18 21:51:32.001
"我爱渔大西洋真鳕鱼宝宝装挪威北极鳕独立包装200g*3袋去皮去刺",118.0,20.0%,23.6,已售：175,结束：2024-03-31,10,52,我爱渔I LOVE U官方旗舰店,4.98,4.85,4.89,2023-04-18 21:51:32.096
"木糖醇荔枝罐头300g*4罐0脂锁鲜去核爽口预制果盘餐后甜品水果",59.9,20.0%,11.98,已售：1115,结束：2024-03-15,,,ALL DAY食品旗舰店,4.69,4.59,4.73,2023-04-18 21:51:32.205
"2023福建霞浦优质盐渍海带苗鲜嫩小海带脆爽火锅凉拌煮汤500g袋",9.8,25.0%,2.45,已售：2.8万,结束：2024-12-31,129,528,瀚宁肴生鲜甄选,4.88,4.74,4.67,2023-04-18 21:51:32.321
"【2只发顺丰】盐焗鸡嫩鸡现做现发零添加广东咸香手撕鸡约750g",79.9,20.0%,15.98,已售：83,结束：2024-04-30,,,全树食品,4.13,4.83,4.78,2023-04-18 21:51:32.415
"【到手30根】火山石烤肠爆汁烤肠纯肉肠脆皮肠热狗烤肠250g/袋",99.0,22.0%,21.78,已售：1.3万,结束：2023-08-24,17,65,打丸哥官方旗舰店,4.95,4.73,4.85,2023-04-18 21:51:32.496
"【爱笑的罐头专属】正宗湘菜剁椒鱼头活鱼现杀含剁椒包开袋即蒸",69.9,20.0%,13.98,已售：409,结束：2024-12-31,,,林结巴绿岛贸易旗舰店,4.97,4.91,4.93,2023-04-18 21:51:32.581
"森庄农品淡干虾皮海米虾米100g新鲜干货生晒虾皮煮汤非即食调味",9.9,50.0%,4.95,已售：2479,结束：2023-05-06,,,森庄农品旗舰店,4.98,4.43,4.64,2023-04-18 21:51:32.665
"【旗王小镇白香糯】4~6斤东北糯玉米新鲜采摘真空包邮240～330g",29.9,16.0%,4.78,已售：3105,结束：2023-05-31,,,旗王古镇杂粮专营店,4.81,4.99,4.7,2023-04-18 21:51:32.757
"梁品优选新西兰银蕨农场Reserve系列原切眼肉牛排180g*5片",390.0,15.0%,58.5,已售：164,结束：2024-01-31,,,梁品优选,4.75,4.43,4.75,2023-04-18 21:51:32.845
"汇柒鲜羊蝎子火锅古法浓汤老北京火锅1260g/袋*1/*2加热即食d",69.0,18.0%,12.42,已售：4.6万,结束：2023-08-31,14,95,汇柒鲜生鲜旗舰店,4.85,4.23,4.94,2023-04-18 21:51:32.938
"梁品优选新西兰RESERVE级牛肉饼汉堡饼100g*8个",236.0,15.0%,35.4,已售：276,结束：2024-01-31,,,梁品优选,4.75,4.43,4.75,2023-04-18 21:51:33.029
"红心咸蛋黄20枚烘焙合成生咸蛋黄流油端午节包粽子做月饼材料",13.9,22.0%,3.06,已售：581,结束：2023-08-31,,,四季健康个体店,4.95,4.88,4.56,2023-04-18 21:51:33.119
"【粉丝福利】黄柠檬13个 单果100g+ 独立包装新鲜水果5斤/9斤出口",9.9,15.0%,1.48,已售：6.0万,结束：2023-11-22,227,914,元小宝商行个体店,4.98,4.98,4.61,2023-04-18 21:51:33.212
"新鲜高山枇杷礼盒大果孕妇水果琵琶果当季甜枇杷果5斤优质鲜甜",88.2,20.0%,17.64,已售：86,结束：2023-05-06,,,鹿鲜生,4.58,4.98,4.58,2023-04-18 21:51:33.306
"【可生食】爆浆牛奶水果玉米新鲜鲜甜饱满孕妇水果产地直发四斤",21.9,17.0%,3.72,已售：656,结束：2024-05-31,,,梨小闲源头优选,4.67,4.91,4.58,2023-04-18 21:51:33.403
"出口品质干裙带菜干货48g小包装免切免洗宝宝儿童孕妇干燥裙带菜",9.9,30.0%,2.97,已售：473,结束：2024-03-23,,,八仟藻生鲜旗舰店,4.98,4.9,4.56,2023-04-18 21:51:33.508
"【烟火气】锅盔梅干菜饼早餐速食半成品梅干菜猪肉饼煎饼梅菜饼",26.8,25.0%,6.7,已售：1651,结束：2023-05-31,21,194,宜久郎食品旗舰店,4.94,4.9,4.81,2023-04-18 21:51:33.628
"皮厨大叔三鲜虾仁玉米1袋400克 速冻保鲜扬州炒饭伴侣营养快捷",35.0,21.0%,7.35,已售：1.6万,结束：2024-01-30,12,175,皮厨大叔生鲜旗舰店,4.98,4.98,4.99,2023-04-18 21:51:33.731
"王掌柜【顺丰包邮】正宗山东烟台红富士苹果脆甜3/5斤礼盒装大果",28.8,15.0%,4.32,已售：5194,结束：2023-04-30,,,王掌柜生鲜旗舰店,4.89,4.99,4.78,2023-04-18 21:51:33.857
"馋嘴小妞 蔬菜鸡蛋灌饼面饼家用营养早餐灌饼皮手抓饼家庭装30片",39.8,30.0%,11.94,已售：2.2万,结束：2023-04-30,23,108,馋嘴小妞生鲜旗舰店,4.98,4.83,4.35,2023-04-18 21:51:33.965
"【到手200只】思念400g上汤小云吞馄饨荠菜猪肉玉米蔬菜速食早餐",69.9,20.0%,13.98,已售：1109,结束：2023-04-30,16,89,思念速食旗舰店,4.93,4.88,4.99,2023-04-18 21:51:34.072
"【嘉禾苗圃】白甜糯奶糖水果玉米种子甜糯可口优质春秋季高产耐热",9.9,58.0%,5.74,已售：4292,结束：2024-02-29,20,192,嘉禾苗圃,4.88,4.95,4.62,2023-04-18 21:51:34.233
﻿"【嘉禾苗圃】白甜糯奶糖水果玉米种子甜糯可口优质春秋季高产耐热",9.9,58.0%,5.74,已售：4292,结束：2024-02-29,20,192,嘉禾苗圃,4.88,4.95,4.62,2023-04-18 21:52:02.575
"佳农宝菜 沙地甜紫薯2.5kg礼盒装软糯香甜 健康轻食农产品食用",29.9,14.0%,4.19,已售：1555,结束：2023-12-31,186,282,佳农宝菜生鲜店,4.96,4.91,4.73,2023-04-18 21:52:02.691
"重庆麻辣萝卜干香辣脆萝卜下饭菜下酒菜开胃菜即食250克*2袋 包邮",9.9,5.0%,0.5,已售：2626,结束：2023-12-31,,,木洞老同学旗舰店,4.94,4.31,4.6,2023-04-18 21:52:02.792
"【致冀农场】山东羊角蜜|锦玉|现摘现发|新鲜脆甜多汁|3斤/5斤",32.9,21.0%,6.91,已售：191,结束：2024-04-30,,,致冀农场企业店,4.77,4.67,4.56,2023-04-18 21:52:02.899
"【壹何水果】海南金钻凤梨产地直发细营养5斤应季水果（非菠萝）",19.9,20.0%,3.98,已售：374,结束：2023-06-30,39,,壹何水果,4.34,4.57,4.52,2023-04-18 21:52:03.005
"网红特供工厂店一级贡菜涡義贡菜独立包装80克一袋",8.8,40.0%,3.52,已售：360,结束：2023-04-30,,,涡義贡菜基地,4.6,4.53,4.71,2023-04-18 21:52:03.126
"杂粮馒头山东低脂无糖精全麦荞纯粗粮主食手工杂粮包孕五谷肥餐aa",12.9,30.0%,3.87,已售：848,结束：2023-12-01,77,311,野三坡官方旗舰店,4.84,4.9,4.73,2023-04-18 21:52:03.228
"火爆款~【加大加厚】葱油饼120g老上海葱香饼早餐饼葱花早餐煎饼",26.8,30.0%,8.04,已售：162,结束：2024-04-30,,,麦丽全食品,4.96,4.96,4.94,2023-04-18 21:52:03.333
"【到手10袋】火山石烤肠爆汁纯肉肠脆皮肠热狗烤肠烧烤原味200g",69.9,33.0%,23.07,已售：67,结束：2024-10-31,5,49,丸小明生鲜旗舰店,4.93,4.9,4.78,2023-04-18 21:52:03.447
"古田本草银耳高山生态燕耳冰糖银耳羹免洗免煮快速出胶【精选】5g",99.0,15.0%,14.85,已售：75,结束：2023-06-01,20,,晋江市英林镇巧味食品商行的小店,4.99,4.94,4.66,2023-04-18 21:52:03.563
"必品阁bibigo牛肉王水饺*2+王饺子*4（另赠煎饺一袋）煎炸皮薄",99.9,15.0%,14.98,已售：2.9万,结束：2023-05-31,21,74,必品阁BIBIGO官方旗舰店,4.99,4.97,4.99,2023-04-18 21:52:03.685
"滋记五福双鲍捞 加热即食营养美味深海肉质鲜嫩送礼佳品220g/盒",199.0,15.0%,29.85,已售：139,结束：2024-04-01,,,滋记官方旗舰店,4.82,4.98,4.87,2023-04-18 21:52:03.801
"台权烤肠纯肉地道肠黑椒原味肉肠早餐速食半成品爆汁肉肠速冻食品",39.8,25.0%,9.95,已售：5299,结束：2023-06-30,20,119,台权生鲜旗舰店,4.92,4.7,4.76,2023-04-18 21:52:03.921
"【蝶岛海歌】九节虾干礼盒装开袋即食海鲜零食烤虾斑节虾干海虾干",198.0,17.0%,33.66,已售：760,结束：2023-05-31,5,33,蝶岛海歌官方旗舰店,4.81,4.94,4.98,2023-04-18 21:52:04.039
"湖北秭归伦晚橙 脐橙 橙子水果 彩箱随机发 含箱2.5kg装",14.8,20.0%,2.96,已售：400,结束：2023-10-31,,,采蘩生鲜旗舰店,4.48,4.52,4.41,2023-04-18 21:52:04.162
"内蒙古锡林郭勒半只羊组合10斤",368.0,15.0%,55.2,已售：8690,结束：2024-01-05,17,,羔羊部落生鲜,4.65,4.08,4.17,2023-04-18 21:52:04.270
"【都乐Dole】 陕西富士苹果礼盒 净重4.5斤12只 精美脆甜浓郁",39.9,14.0%,5.59,已售：1.4万,结束：2024-11-30,54,208,都乐Dole生鲜旗舰店,4.77,4.73,4.81,2023-04-18 21:52:04.389
" 贵州特产 贞丰晚米熟米饵块粑 兴义安龙二块粑多口味味500g/个 ",11.8,20.0%,2.36,已售：3290,结束：2023-05-31,104,519,贵州山货美食店,4.65,4.66,4.78,2023-04-18 21:52:04.517
"玉米粒开袋即食新鲜玉米水果玉米粒颗粒饱满轻食伴侣代餐80g",9.9,25.0%,2.48,已售：595,结束：2024-04-30,,,南井沟粮油,4.71,4.55,4.63,2023-04-18 21:52:04.634
"食得迷梅菜扣肉320g大分量微波炉加热即食湘菜方便家常菜免洗免切",45.0,20.0%,9.0,已售：4014,结束：2023-06-30,,,食得迷官方旗舰店,4.99,4.96,4.86,2023-04-18 21:52:04.749
"【安琪直营】安琪油条膨松剂20g家用无铝发酵粉 快速炸油条蓬松剂",16.9,50.0%,8.45,已售：1776,结束：2024-05-31,47,152,安琪官方旗舰店,4.99,4.98,4.81,2023-04-18 21:52:04.877
"【潮汕牛肉丸】4斤送粿条送酱料包新鲜肉质正宗筋道爆汁火锅烧烤",79.9,25.0%,19.98,已售：215,结束：2025-04-12,,,潮丸哥生鲜食品店,4.9,4.96,4.94,2023-04-18 21:52:04.986
"2盒谷饲肥牛片+3盒雪花牛肉片合计5盒原切套餐",175.0,17.0%,29.75,已售：1408,结束：2024-02-25,,,鲜会鲜生鲜旗舰店,4.98,4.99,4.97,2023-04-18 21:52:05.092
"广西特产小米椒500g农家手工小米辣椒香辣脆口即食酱菜泡菜下饭菜",18.8,25.0%,4.7,已售：280,结束：2023-07-13,,,桂农优选企业店,4.99,4.89,4.85,2023-04-18 21:52:05.192
"广式面点荷花奶黄卷茶餐厅茶楼早餐花卷包子馒头半成品面食早餐",27.9,25.0%,6.98,已售：688,结束：2025-06-01,20,157,大丰斋旗舰店,4.99,4.75,4.65,2023-04-18 21:52:05.286
"【狮头鹅七拼】正宗潮汕卤鹅狮头鹅卤味卤水拼盘约650g  下单切好",158.0,23.0%,36.34,已售：1.3万,结束：2024-06-30,4,34,佬味到生鲜旗舰店,4.79,4.98,4.91,2023-04-18 21:52:05.383
"大丰斋时蔬火腿烧麦500g*2袋早餐速食半成品美食冷冻糯米烧卖",29.9,25.0%,7.48,已售：249,结束：2025-05-01,6,153,大丰斋旗舰店,4.99,4.75,4.65,2023-04-18 21:52:05.486
"网红手剥笋2023开袋即食香辣泡椒原味500g网红零食味鲜营养绿色",6.5,21.0%,1.36,已售：1322,结束：2023-09-30,,,政和县森宇农产品店,4.77,4.81,4.57,2023-04-18 21:52:05.587
"乡野人家【轻盐烤鸭蛋】散养鸭熟蛋松沙流油新鲜即食健康营养特产",39.9,13.0%,5.19,已售：872,结束：2024-02-29,,,乡野人家生鲜旗舰店,4.99,4.99,4.71,2023-04-18 21:52:05.700
"狗不理猪肉包2袋+三鲜包2袋，下单到手2kg包子冷冻酵母面粉肉馅",39.9,25.0%,9.98,已售：1.6万,结束：2023-09-30,25,109,狗不理官方旗舰店,4.96,4.9,4.69,2023-04-18 21:52:05.816
"黑鱼片免浆 酸菜鱼水煮鱼专用 新鲜高品质 只取黑鱼干净中段",68.8,20.0%,13.76,已售：1718,结束：2024-02-03,,,海天下旗舰店,4.85,4.93,4.95,2023-04-18 21:52:05.922
"食得迷湘西外婆菜下158g*3包大份量实惠装百搭无辣免洗免切下饭菜",9.9,20.0%,1.98,已售：8336,结束：2023-06-08,,,食得迷官方旗舰店,4.99,4.96,4.86,2023-04-18 21:52:06.035
"粘豆包山东纯手工杂粮粗粮低脂早餐晚餐方便速食即食",25.8,23.0%,5.93,已售：1491,结束：2024-01-31,61,187,爱品客食品个体店,4.57,4.83,4.63,2023-04-18 21:52:06.171
"【京东包邮】陕西泾阳普罗旺斯西红柿新鲜水果番茄沙瓤甜4/4.5斤",37.9,18.0%,6.82,已售：178,结束：2023-07-10,53,,陕果优选,4.81,4.68,4.65,2023-04-18 21:52:06.289
"姚二娘港式虾饼320g香煎饼油炸半成品早餐点心面饼小吃虾饼",79.9,18.0%,14.38,已售：371,结束：2023-12-31,8,69,姚二娘食品旗舰店,4.98,4.4,4.99,2023-04-18 21:52:06.400
"T 涨粉专享【拍二斤发四斤】正宗潮汕牛肉丸/牛筋丸 潮州汕头特产",99.0,32.0%,31.68,已售：1.1万,结束：2024-02-01,7,31,丸小明生鲜旗舰店,4.93,4.9,4.78,2023-04-18 21:52:06.513
"姚二娘港式虾饼320g盒香煎饼油炸半成品早餐点心",79.9,15.0%,11.98,已售：840,结束：2023-12-31,5,61,英鑫食品生鲜专营店,4.99,4.92,4.99,2023-04-18 21:52:06.631
"【粉丝专享】小胖子油条 金黄酥脆无矾无铝无铅半成品早餐500g/袋",26.9,25.0%,6.72,已售：1510,结束：2024-03-02,,,一面京喜食品旗舰店,4.99,4.54,4.79,2023-04-18 21:52:06.750
"【西贝招牌】发酵黄馍馍540g*2-3盒（12个)D 冷冻",59.9,15.0%,8.98,已售：2049,结束：2023-10-31,,,西贝莜面村官方旗舰店,4.99,4.96,4.99,2023-04-18 21:52:06.873
"广西奶油白心芭乐番石榴软糯香甜新鲜水果赠送酸梅粉应季3-5斤",32.9,20.0%,6.58,已售：163,结束：2023-06-30,,,果优鲜农产品,4.5,4.79,4.42,2023-04-18 21:52:06.988
"阿根廷红虾 【L1】刺身级原盒进口 4斤 正宗野生海捕无冰超大特价",146.9,5.0%,7.34,已售：174,结束：2023-08-31,,,卖鱼郎,4.58,4.78,4.91,2023-04-18 21:52:07.118
"潮汕集锦 香港橄榄菜下饭菜大瓶装正宗广东特产早餐特制咸菜280g",13.8,20.0%,2.76,已售：1.2万,结束：2023-06-30,,,潮汕集锦食品旗舰店,4.99,4.95,4.97,2023-04-18 21:52:07.231
"鲜悦颜新鲜严选果蔬鲜虾饼包装200g包*6品质保证老人小孩也可食用",109.0,32.0%,34.88,已售：33,结束：2023-05-31,,,日照至和商贸店,4.55,4.21,4.55,2023-04-18 21:52:07.321
"腐乳饼 潮汕小吃茶点腐乳饼鸡仔饼潮州小吃传统糕点450g 潮州山哥",25.0,20.0%,5.0,已售：9163,结束：2023-08-31,39,227,潮州山哥食品店,4.93,4.11,4.94,2023-04-18 21:52:07.421
"【宠粉啦！】朕宅惠灵顿芝士牛排派  鲜嫩冷冻经典组合 半成品",119.0,15.0%,17.85,已售：5722,结束：2023-12-31,,,朕宅官方旗舰店,4.86,4.81,4.82,2023-04-18 21:52:07.517
"尚彩新味顺丰包邮儿童果蔬卡通粗粮花卷辅食代餐馒头早餐260g*袋",29.9,25.0%,7.48,已售：280,结束：2024-03-31,,,新味优选,4.86,4.72,4.7,2023-04-18 21:52:07.616
"鲜屯屯（坏果水瓜包赔）真贝贝南瓜板栗宝宝辅食5/斤",24.9,20.0%,4.98,已售：212,结束：2024-12-31,,,鲜屯屯生鲜旗舰店,4.99,4.79,3.34,2023-04-18 21:52:07.720
"潮汕牛肉丸 半斤装 我爱丸 包邮 汕头特产新鲜传统手工鲜嫩",24.9,30.0%,7.47,已售：3290,结束：2023-06-30,4,119,潮汕牛丸,4.79,4.78,4.19,2023-04-18 21:52:07.814
"纳豆北海道原装进口滨梨纳豆日本即食4盒/组拉丝发酵小粒178.8g",27.81,16.0%,4.45,已售：1945,结束：2023-06-30,19,235,昭合食品专营店,4.97,4.65,4.95,2023-04-18 21:52:07.916
"【新人尝鲜装】优信正宗潮汕手工牛肉丸 劲道牛筋丸火锅丸250g/包",29.9,20.0%,5.98,已售：3533,结束：2023-06-30,36,177,潮味优信官方旗舰店,4.99,4.91,4.98,2023-04-18 21:52:08.026
"汕头手工鱼丸*6袋【丸小明】达濠鱼丸关东煮麻辣烫火锅丸子食材",99.0,32.0%,31.68,已售：49,结束：2024-04-30,,,丸小明生鲜旗舰店,4.93,4.9,4.78,2023-04-18 21:52:08.146
"俏侬酥皮馅饼猪肉大葱馅牛肉饼肉香酥脆早餐速食手抓饼健康酥饼",38.8,20.0%,7.76,已售：4.2万,结束：2031-02-28,26,133,俏侬官方旗舰店,4.9,4.89,4.95,2023-04-18 21:52:08.244
"玖嘉久低脂大颗粒鲜虾饼拍4赠2",120.0,16.0%,19.2,已售：583,结束：2024-04-30,,,玖嘉久生鲜旗舰店,4.97,4.87,4.87,2023-04-18 21:52:08.361
"【五星名厨研发】幸福西饼爆浆芝士卷加热牛肉榴莲鸡肉早餐速食",49.8,20.0%,9.96,已售：471,结束：2023-04-30,14,97,幸福西饼烘焙旗舰店,4.87,4.98,4.98,2023-04-18 21:52:08.471
"千味央厨家庭聚餐八宝饭方便米饭年年有鱼豆沙甜点糯米饭400g/个",14.6,20.0%,2.92,已售：57.8万,结束：2023-11-30,44,313,千味央厨官方旗舰店,4.95,3.37,4.63,2023-04-18 21:52:08.591
"森庄农品常温混合芋圆家用店用同款自制甜品套餐奶茶店专用鲜芋仙",13.9,50.0%,6.95,已售：5087,结束：2023-05-12,,,森庄农品旗舰店,4.98,4.43,4.64,2023-04-18 21:52:08.713
"精品广西足干无硫大红八角大茴香、大料、卤料调料香料50-1000克",9.8,25.0%,2.45,已售：1.3万,结束：2024-02-29,,,八桂优品个体店,4.94,4.99,4.7,2023-04-18 21:52:08.830
"新鲜正宗散养土乌鸡2只鲜冷链包邮生态乌骨鸡月子鸡走地鸡送2只",128.0,30.0%,38.4,已售：49,结束：2023-06-30,,,董鲜生生鲜,4.62,4.53,4.72,2023-04-18 21:52:08.948
"洞庭洲滩汉寿生态大湖深水甲鱼中华老鳖团鱼王八生鲜水产优质",168.0,15.0%,25.2,已售：256,结束：2023-11-30,2,45,洞庭洲滩甲鱼店,4.09,4.29,4.76,2023-04-18 21:52:09.071
"马来西亚进口浓缩真水果汁棒棒冰草莓芒果百香果碎碎冰健康零食",24.5,20.0%,4.9,已售：224,结束：2024-05-17,,,千帆海外专营店,4.85,4.15,4.76,2023-04-18 21:52:09.189
"【田园居】 田园农家现捡现发鲜鹌鹑蛋健康食用 70枚 现捡现发",27.9,10.0%,2.79,已售：1.2万,结束：2025-03-14,29,319,田园居生鲜旗舰店,4.72,4.99,4.59,2023-04-18 21:52:09.316
"小馋童老北京鸡肉卷早餐半成品懒人速食微波炉加热方便家庭鸡肉卷",19.9,24.0%,4.78,已售：5618,结束：2023-08-31,11,190,烈锤食品,4.89,4.88,4.67,2023-04-18 21:52:09.429
"【王品小小冰糖蜜瓜】海南当季新鲜哈密瓜水果3斤~3.5斤1粒装尝鲜",38.8,17.0%,6.6,已售：1145,结束：2023-05-31,9,149,王品果业生鲜,4.93,4.49,4.79,2023-04-18 21:52:09.521
"鼎巴鼎巴 严选羔羊 羊排1000g 骨少肉多 肥瘦相间",109.0,10.0%,10.9,已售：80,结束：2023-07-31,,,鼎巴鼎巴生鲜旗舰店,4.86,4.52,4.71,2023-04-18 21:52:09.616
"【达人专享】黄天鹅即食盐味溏心蛋 早餐轻食7分熟流心蛋黄12枚",59.8,20.0%,11.96,已售：164,结束：2024-02-29,,,黄天鹅食品旗舰店,4.99,4.99,4.95,2023-04-18 21:52:09.711
"湖南味道攸县地方特色农家手工艾叶青团斋传统糕点500克糯米糍粑",24.6,23.0%,5.66,已售：154,结束：2023-08-21,5,,攸县行运生态农业有限公司的小店,4.97,4.97,4.79,2023-04-18 21:52:09.801
"【爷俩儿好菜专属】天鲜里生晒虾皮 精选含钙海虾皮 老少皆宜佐汤",19.9,40.0%,7.96,已售：379,结束：2026-10-30,52,132,天鲜里旗舰店,4.99,4.95,4.72,2023-04-18 21:52:09.899
"【尚巧厨】展艺芋圆500g 大小芋圆自制烧仙草水果捞夏日甜品冰沙D",26.8,27.0%,7.24,已售：1.0万,结束：2024-03-12,23,139,尚巧厨卖场旗舰店,4.99,4.93,4.99,2023-04-18 21:52:10.000
"湖南艾叶糍粑10.9元2包24片（艾叶、高粱味道）土特产绿艾叶糍粑",10.9,20.0%,2.18,已售：3775,结束：2029-03-04,37,,宜章县柠檬百货商店,4.66,4.62,4.35,2023-04-18 21:52:10.097
"湖北特色风干鸡1/2/3/5只无翅无爪腊货腊鸡特产真空包装传统优选",29.9,18.0%,5.38,已售：256,结束：2024-12-31,,,薄利食品,3.88,4.84,4.92,2023-04-18 21:52:10.196
"调味裙带菜 裙带菜梗片即食销量第一 200g 儿童 梗丝 梗段 香辣味",25.9,25.0%,6.48,已售：183,结束：2023-10-31,1,,海小白,4.72,4.76,4.58,2023-04-18 21:52:10.311
"【四大名丸】优信潮汕特产手工牛肉丸火锅丸子混合装套餐250g冷冻",89.0,20.0%,17.8,已售：1373,结束：2023-06-30,,,潮味优信官方旗舰店,4.99,4.91,4.98,2023-04-18 21:52:10.420
"加拿大进口野生牡丹虾1KG（大中小规格）日本料理刺身级高端食材",628.0,10.0%,62.8,已售：234,结束：2024-06-30,,,QINGSHE SEAFOOD生鲜旗舰店,4.8,3.58,4.95,2023-04-18 21:52:10.531
"【鲜选小果】山东正宗烟薯25号 烤红薯 软糯香甜流油 净重5斤  ",32.9,30.0%,9.87,已售：6730,结束：2023-05-24,,,壹亩地瓜生鲜旗舰店,4.85,4.68,4.71,2023-04-18 21:52:10.650
"新货贡菜干脆爽脱水蔬菜农家纯手工自晒响菜苔250g",29.9,25.0%,7.48,已售：659,结束：2024-03-01,24,,麦田精选,4.95,4.81,4.67,2023-04-18 21:52:10.758
"肉阿婆家的外婆菜152g*3包鲜香脆爽下饭菜农家咸菜-TY",7.9,15.0%,1.18,已售：3541,结束：2023-05-15,,,肉阿婆生鲜旗舰店,4.99,4.92,4.7,2023-04-18 21:52:10.883
"【尚巧厨】枫未火山石爆汁烤肠500g/包台湾烤肠热狗黑胡椒脆皮肠D",19.8,25.0%,4.95,已售：4.9万,结束：2023-06-30,45,198,尚巧厨卖场旗舰店,4.99,4.93,4.99,2023-04-18 21:52:11.002
"思念奶香儿童卡通猪猪包早餐猪猪包奶黄包豆沙包包子卡通包速冻",59.9,20.0%,11.98,已售：404,结束：2024-01-31,16,79,思念速食旗舰店,4.93,4.88,4.99,2023-04-18 21:52:11.137
"【牛四宝】2-3人套餐正宗潮汕牛肉火锅套餐火锅食材4份",209.0,21.0%,43.89,已售：36,结束：2024-06-30,17,,荃牛堂,4.74,4.97,4.94,2023-04-18 21:52:11.261
"【啵皮系列软糖】扒皮50%含量果汁软糖网红零食葡萄芒果",6.8,30.0%,2.04,已售：3218,结束：2023-05-31,,,新期天食品旗舰店,4.98,4.67,4.67,2023-04-18 21:52:11.381
"【精品】北海北部湾手撕风琴鱿鱼片开袋即食百钻手抓鱿鱼片新鲜",36.0,20.0%,7.2,已售：2065,结束：2024-03-31,,,北海市聚英海鲜干货店,4.96,4.95,4.92,2023-04-18 21:52:11.503
"【华誉食品】环形肠275克 果木熏烤 蒜香十足 真空包装便捷食用  ",23.8,21.0%,5.0,已售：244,结束：2023-05-31,,,华誉食品,4.98,4.91,4.87,2023-04-18 21:52:11.616
"柳伍酸菜鱼 419g*5盒 新鲜黑鱼片浓郁酸爽下饭方便半成品预制菜",99.8,20.0%,19.96,已售：179,结束：2024-03-30,9,,柳伍官方旗舰店,4.75,4.84,4.68,2023-04-18 21:52:11.710
"瑞福隆伊美鸡肉馅饼120gX10片营养早餐麦多馅饼酥脆肉香方便速食",29.9,28.0%,8.37,已售：230,结束：2024-08-31,3,104,瑞福隆旗舰店,4.88,4.94,4.86,2023-04-18 21:52:11.809
"爆浆红糖糍粑酥脆软糯香甜农家手工糍粑传统糯米糍粑",23.8,30.0%,7.14,已售：3.2万,结束：2023-11-30,11,118,抖梦美食精选,4.97,4.6,4.73,2023-04-18 21:52:11.903
"【老郭书记专属】新鲜小黄姜生姜土黄姜 1.5斤 坏姜包赔大别山",9.9,10.0%,0.99,已售：7.6万,结束：2023-08-13,,,燕儿谷小铺店,4.84,4.99,4.6,2023-04-18 21:52:11.999
"【双拼组合】优信潮汕传统手工猪肉丸 猪肉饼500g/袋火锅食材顺丰",59.0,20.0%,11.8,已售：1827,结束：2023-06-30,24,84,潮味优信官方旗舰店,4.99,4.91,4.98,2023-04-18 21:52:12.109
"昌古味道绍兴醉鱼干 淡淡酒香 品质即食 冷盘下饭 170克装",36.8,20.0%,7.36,已售：8446,结束：2023-11-13,42,,绍兴安昌古镇特产店,4.99,4.69,4.96,2023-04-18 21:52:12.213
"无上味觉慕斯剥皮橘子包子10个*2包儿童早餐半成品趣味面包点心",39.8,27.0%,10.75,已售：106,结束：2024-04-30,14,,无上味觉生鲜旗舰店,4.99,4.93,4.9,2023-04-18 21:52:12.311
"农谣人原味黑椒味火山石地道烤肠袋空气炸锅户外烧烤抖音团购",68.0,15.0%,10.2,已售：2.4万,结束：2023-11-30,,,农谣人生鲜旗舰店,4.83,4.72,4.88,2023-04-18 21:52:12.419
"【下单送电烤锅】8份纯肉韩式烤肉 新鲜烧烤真材实料做出好味道",99.9,15.0%,14.98,已售：1498,结束：2024-02-29,,,小馨旗舰店,4.82,4.97,4.85,2023-04-18 21:52:12.537
"六和鲜鸭肠精制鸭肠新鲜鸭货冰鲜鸭肠绝味鸭肠半成品生鲜火锅食材",39.8,14.0%,5.57,已售：1912,结束：2023-12-31,41,161,和美鲜生,4.98,4.73,4.79,2023-04-18 21:52:12.651
"茂名高州爆皮王番薯白心板栗红薯干面粉糯地瓜新鲜现挖2斤5斤9斤",10.8,20.0%,2.16,已售：2403,结束：2023-12-31,,,正宗茂名特产,4.84,4.69,4.73,2023-04-18 21:52:12.745
"不花心鲜剥虾仁【200g x5包】大个营养肉质紧实冷冻鲜剥海鲜新鲜",129.0,20.0%,25.8,已售：82,结束：2024-02-29,,,不花心生鲜旗舰店,4.99,4.88,4.69,2023-04-18 21:52:12.840
"【达人专属】金装手打正宗潮汕牛肉丸新鲜筋道爆汁【送粿条+蒜酥",89.9,35.0%,31.46,已售：1623,结束：2024-12-18,5,25,汕头市潮栩牛肉丸食品商行,4.98,4.98,4.96,2023-04-18 21:52:12.944
"新疆哈尔毕腌菜！酱腌菜家庭尝鲜大礼包2.5公斤包邮！下饭菜！",69.0,15.0%,10.35,已售：221,结束：2024-05-01,,,霍城县清水河镇哈尔毕腌菜厂,4.93,3.8,4.78,2023-04-18 21:52:13.045
"【佬味到鹅翅】潮汕特产卤水狮头鹅卤味真空包装鹅肉 下单不切",88.0,15.0%,13.2,已售：188,结束：2024-06-30,16,70,佬味到生鲜旗舰店,4.79,4.98,4.91,2023-04-18 21:52:13.155
