商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"中逵战斗鲢钓竿28调性高碳布加固轻硬鲢鳙鲤草鱼轻量大物综合鱼竿",700.0,17.0%,119.0,已售：763,结束：2024-01-31,2,21,中逵官方旗舰店,4.26,4.95,4.99,2023-04-18 21:14:50.320
"【健身教练推荐】健身运动锻炼钢丝负重跳绳，男女通用学生摇绳",8.8,21.0%,1.85,已售：12.8万,结束：2023-12-02,570,2117,三小爆品精选,4.88,4.88,4.96,2023-04-18 21:14:50.388
"I'd/爱帝春夏外穿裸感速干九分瑜伽裤通用高腰提臀运动健身打底裤",69.0,21.0%,14.49,已售：707,结束：2024-04-30,15,,爱帝旗舰店,4.98,4.77,4.97,2023-04-18 21:14:50.462
"路亚成品飞蝇钩（仿真毒蚊精品苍蝇溪流假饵白条马口青稍破龟专用",16.8,15.0%,2.52,已售：2634,结束：2023-04-30,,,鱼探渔具路亚用品个体店,4.99,4.99,4.81,2023-04-18 21:14:50.532
"环球加绒运动鞋女冬季女鞋2023新款爆款百搭港风保暖软底跑步鞋潮",69.0,15.0%,10.35,已售：882,结束：2023-09-30,222,,HUANQIU环球运动旗舰店,4.88,3.04,3.59,2023-04-18 21:14:50.602
"【足底按摩器】家用休闲足底3D滚轮按摩器！",7.9,13.0%,1.03,已售：8576,结束：2023-07-20,134,,溢镶小店,4.98,3.45,4.91,2023-04-18 21:14:50.678
"鞋垫空军一号af1女增高男aj内增高垫隐形不累脚踩屎感运动减震085",20.9,30.0%,6.27,已售：2.2万,结束：2023-07-07,92,481,悟趣,4.99,4.99,4.73,2023-04-18 21:14:50.752
"高尔夫球服长袖翻领POLO衫速干T恤休闲女装冰丝拼接防晒运动球衣",456.0,30.0%,136.8,已售：70,结束：2023-04-30,,,淘杆运动户外旗舰店,4.96,4.75,4.94,2023-04-18 21:14:50.831
"15米1根 钢丝芯晾衣绳晒被绳户外防风防滑加粗多功能室外绳子",9.99,26.0%,2.6,已售：1206,结束：2023-04-30,,,了然绳网,4.95,4.84,4.61,2023-04-18 21:14:50.921
"头部按摩器 五爪按摩器 滚珠抓头小工具 ",5.99,35.0%,2.1,已售：9.7万,结束：2023-05-31,201,1120,猎途百货,4.95,4.73,4.83,2023-04-18 21:14:50.998
"鞠婧祎同款觅橘正肩帽檐防晒衣原纱女夏季款防紫外线透气超薄1",229.0,20.0%,45.8,已售：62,结束：2025-03-31,,,觅橘户外旗舰店,4.75,4.6,4.03,2023-04-18 21:14:51.079
"薏凡特大码专属跑步 跳操 跳绳  一片式 高腰无痕 健身裤打底裤",219.0,30.0%,65.7,已售：795,结束：2024-03-31,,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:14:51.168
"薏凡特高强度紧身长裤 侧边口袋高腰时尚透气收腹提臀高腰健身裤",249.0,30.0%,74.7,已售：737,结束：2024-03-31,,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:14:51.255
"金铂喜24骨全自动雨伞折叠伞晴雨两用遮阳伞防晒防紫外线太阳伞",29.9,15.0%,4.48,已售：760,结束：2024-04-28,,,金铂喜装饰品旗舰店,4.87,4.98,4.5,2023-04-18 21:14:51.347
"Mizuno美津浓男23春季新款低帮缓震慢跑鞋透气运动跑步鞋 RIDER26",638.0,18.0%,114.84,已售：1746,结束：2023-09-30,11,,Mizuno美津浓官方旗舰店,4.77,4.41,4.99,2023-04-18 21:14:51.442
"【主播款】新款连帽长款冰丝女款防晒衣百搭透气可外穿户外防晒服",39.9,30.0%,11.97,已售：270,结束：2023-08-12,,,新波服饰,4.98,4.79,4.68,2023-04-18 21:14:51.536
"烧烤炉户外野餐露营抽拉式便捷碳槽烧烤木炭家用折叠式烧烤工具",39.9,23.0%,9.18,已售：244,结束：2023-06-30,,,伟科户外专营店,4.92,4.8,4.89,2023-04-18 21:14:51.630
"【拍一发二】成人学生儿童通用健身运动机械计数跳绳 可调节",8.8,12.0%,1.06,已售：3029,结束：2024-04-30,,,依琳优品严选,4.96,4.95,4.71,2023-04-18 21:14:51.724
"品健哑铃男士健身家用锻炼器材多功能杠铃套装可调节重量一对LC",38.0,28.0%,10.64,已售：313,结束：2023-10-10,,,品健健身训练旗舰店,4.79,4.96,4.57,2023-04-18 21:14:51.816
"情侣速干运动服套装夏季短袖t恤跑步2039球服训练透气短裤T",59.9,18.0%,10.78,已售：271,结束：2023-07-31,,,领腾Usher prance运动旗舰店,4.92,4.9,4.69,2023-04-18 21:14:51.893
"【三色可选】云感拼色防晒衣凉感冰丝防晒户外薄外套空调衫",39.9,30.0%,11.97,已售：295,结束：2023-10-31,,,爱棉维户外旗舰店,4.96,4.98,4.69,2023-04-18 21:14:51.972
"竞趣磁石扭腰转盘减肥器半月形扭腰盘减肥器材家用懒人健身跳舞盘",37.9,45.0%,17.06,已售：179,结束：2024-03-23,,,KeepFit运动户外工厂店,4.84,4.95,4.22,2023-04-18 21:14:52.044
"男女通用大包小包共2个网红游泳收纳包沙滩收纳袋便携化妆包ins",19.9,25.0%,4.98,已售：9245,结束：2024-03-01,,,essenuoto运动户外旗舰店,4.95,4.78,4.66,2023-04-18 21:14:52.118
"【套装再送帽子】1023运动瑜伽服夏女款防走光短袖跑步健身套装套",78.8,25.0%,19.7,已售：1.5万,结束：2023-11-30,68,165,范度妮运动户外旗舰店,4.97,4.58,4.94,2023-04-18 21:14:52.212
"新款创新方头万毛牙刷可拆卸独立装家用牙刷旅行牙刷加宽舒适更换",15.9,21.0%,3.34,已售：1.8万,结束：2024-01-31,55,1015,深巷小植,4.99,4.96,4.41,2023-04-18 21:14:52.290
"高强度高腰收腹一片式 排汗透气速干运动健身裸感外穿提臀底裤",299.0,30.0%,89.7,已售：562,结束：2024-03-31,,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:14:52.371
"优雅双面大蝴蝶结抓夹鲨鱼夹大号高级感气质发夹头饰",6.99,10.0%,0.7,已售：7362,结束：2024-03-31,2384,6287,圣禹严选,4.68,3.49,4.42,2023-04-18 21:14:52.455
"AOLIKES深蹲阻力带翘臀圈马拉松跑步瑜伽训练居家阻力训练带运动",29.0,50.0%,14.5,已售：504,结束：2023-07-01,,,AOLIKES奥力克斯运动装备旗舰店,4.99,4.84,4.69,2023-04-18 21:14:52.530
"361度仰卧起坐辅助器吸盘式健身器材家用固定脚器腹肌器材辅助器",45.9,20.0%,9.18,已售：1.7万,结束：2024-01-31,84,342,来鸟运动户外专营店,4.95,4.89,4.99,2023-04-18 21:14:52.605
"泳镜侠推荐！TOSWIM干湿分离防水收纳大容量健身度假运动包游泳包",259.0,25.0%,64.75,已售：2208,结束：2023-08-31,,,TOSWIM官方旗舰店,4.97,4.99,4.99,2023-04-18 21:14:52.694
"Suppress护手三节棍钨锰合金钢伸缩三节棍保护自己 车载便携甩辊",76.0,28.0%,21.28,已售：1.0万,结束：2024-09-01,,,Suppress运动户外旗舰店,4.85,4.81,4.83,2023-04-18 21:14:52.772
"韩风百搭春夏出游休闲m字母棒球帽刺绣遮阳情侣可调节软顶鸭舌帽",7.9,10.0%,0.79,已售：3381,结束：2025-03-30,,,金鲤甄选,4.73,4.97,4.91,2023-04-18 21:14:52.859
"Warrior/回力女鞋老爹鞋2023年新款小香风时尚百搭厚底潮流休闲鞋",89.0,15.0%,13.35,已售：330,结束：2024-02-01,2,130,回力国都专卖店,4.97,4.75,4.89,2023-04-18 21:14:52.946
"北溟鱼风语者4号硬度大导环远投滑漂淡水海水竿超轻超硬长节鱼竿",1488.0,20.0%,297.6,已售：7,结束：2023-05-31,,,北溟鱼官方旗舰店,4.8,4.96,4.72,2023-04-18 21:14:53.032
"巨光眼电动车灯led强光车灯车篮高亮电瓶车灯led强光12V-80V通用",9.9,15.0%,1.48,已售：1.6万,结束：2024-06-30,,,巨光眼户外配件旗舰店,4.88,4.46,4.98,2023-04-18 21:14:53.132
"时尚菱格女包三层包小圆2023新款春夏女士单肩斜挎迷你小包包",12.9,6.0%,0.77,已售：9461,结束：2023-04-30,,,聚贤优品,4.7,4.9,4.44,2023-04-18 21:14:53.227
"【三件套】梳子套装 气囊梳卷发内扣梳套装 家用按摩梳套装",9.9,10.0%,0.99,已售：6218,结束：2023-12-31,52,2723,盛峰臻选,4.85,4.89,4.44,2023-04-18 21:14:53.321
"博舒健防滑加厚跳绳垫隔音减震跳绳垫家用健身加宽静音",55.9,30.0%,16.77,已售：1.3万,结束：2023-06-30,26,,小乔的健身小店,4.99,4.67,4.71,2023-04-18 21:14:53.435
﻿"时尚菱格女包三层包小圆2023新款春夏女士单肩斜挎迷你小包包",12.9,6.0%,0.77,已售：9461,结束：2023-04-30,,,聚贤优品,4.7,4.9,4.44,2023-04-18 21:15:05.018
"【三件套】梳子套装 气囊梳卷发内扣梳套装 家用按摩梳套装",9.9,10.0%,0.99,已售：6218,结束：2023-12-31,52,2723,盛峰臻选,4.85,4.89,4.44,2023-04-18 21:15:05.108
"博舒健防滑加厚跳绳垫隔音减震跳绳垫家用健身加宽静音",55.9,30.0%,16.77,已售：1.3万,结束：2023-06-30,26,,小乔的健身小店,4.99,4.67,4.71,2023-04-18 21:15:05.190
"户外小刀具随身防身折叠刀野外求生刀瑞士迷你小刀多功能水果刀",7.68,30.0%,2.3,已售：1299,结束：2023-04-30,,,多维度甄选,4.78,4.95,4.53,2023-04-18 21:15:05.263
"春季新款鲨鱼裤女打底裤外穿显瘦瘦腿瑜伽裤高腰收腹紧身裤芭比裤",12.8,15.0%,1.92,已售：1291,结束：2024-03-31,52,,圣禹严选,4.68,3.49,4.42,2023-04-18 21:15:05.329
"【smoothstar】陆地冲浪板滑板澳洲进口代步专业陆冲板免蹬冲浪板",1768.0,15.0%,265.2,已售：10,结束：2023-04-30,,,极限户外运动装备店,4.52,4.54,4.55,2023-04-18 21:15:05.408
"舞洲丹斯（速干裤）舞蹈运动瑜伽休闲透气健身薄款抽绳束脚裤",59.9,30.0%,17.97,已售：442,结束：2023-04-30,,,舞洲丹斯舞服定制店,4.95,4.77,4.47,2023-04-18 21:15:05.488
"博舒健电子计数握力器男女手指训练器练指力力量锻炼训练健身握力",9.9,39.0%,3.86,已售：2.0万,结束：2023-06-30,156,779,博舒健运动健身旗舰店,4.99,4.67,4.87,2023-04-18 21:15:05.568
"OULLA秋季款修身拉链薄款健身3378#紧身休闲运动长袖",89.0,35.0%,31.15,已售：2493,结束：2023-12-31,14,14,OULLA欧拉运动健身旗舰店,4.97,4.97,4.72,2023-04-18 21:15:05.648
"博舒健竹节跳绳小学生儿童专用跳绳初学运动不缠绕跳绳健身KIDS",9.9,35.0%,3.46,已售：6.2万,结束：2024-02-29,,,小乔的健身小店,4.99,4.67,4.71,2023-04-18 21:15:05.732
"民间艺人日夜两用咬钩变色矶钓T远投滑漂超醒目巨大物夜光浮漂",40.5,25.0%,10.12,已售：8034,结束：2023-12-31,67,293,民间艺人钓具,4.7,4.99,4.83,2023-04-18 21:15:05.812
"LOTTO/乐途达人2023新款【迈陆系列】男女户外运动休闲爆米花跑鞋",219.0,20.0%,43.8,已售：343,结束：2024-03-31,,,LOTTO乐途官方旗舰店,4.76,4.83,3.67,2023-04-18 21:15:05.894
"FED「自锁式竞速跳绳」 健身专业钢丝跳绳颜值通用可调孩子顺滑",59.0,25.0%,14.75,已售：1.9万,结束：2024-06-30,,,fed,4.9,4.96,4.93,2023-04-18 21:15:05.985
"3c认证电动车头盔女电瓶摩托车头盔女士男夏季安全盔四季通用半盔",88.0,25.0%,22.0,已售：94,结束：2023-12-31,,,锐塔克RTAKO,4.87,4.97,4.88,2023-04-18 21:15:06.071
"YILKING/意利王大图圆领运动套装男卫衣卫裤春季休闲运动服 K189",39.9,12.0%,4.79,已售：819,结束：2023-09-30,,,意利王楠部供应链,4.69,4.44,4.57,2023-04-18 21:15:06.186
"Mizuno/美津浓游泳镜潜水男女通用时尚高颜值高清防雾大框泳镜",84.0,35.0%,29.4,已售：1253,结束：2023-06-30,,,美津浓运动装备旗舰店,4.93,4.95,4.99,2023-04-18 21:15:06.278
"高尔夫服装网红空顶防晒帽户外运动女士休闲帽子女款遮阳帽LG2200",108.0,30.0%,32.4,已售：78,结束：2023-04-30,,,淘杆运动户外旗舰店,4.96,4.75,4.94,2023-04-18 21:15:06.373
" 【赵露思同款】斯凯奇女士熊猫鞋复古时尚潮流厚底运动老爹鞋",279.0,12.0%,33.48,已售：435,结束：2023-04-30,6,,斯凯奇泉州专卖店,4.83,4.85,4.64,2023-04-18 21:15:06.468
"【主播推荐】冰薄系列斗篷披肩防晒服显瘦女春夏短款防晒HX",169.0,20.0%,33.8,已售：73,结束：2023-10-31,,,蕉下家居旗舰店,4.99,4.95,4.96,2023-04-18 21:15:06.560
"Peak/匹克鸭舌帽男女潮流时尚户外运动休闲透气棒球帽夏季防晒帽",29.9,22.0%,6.58,已售：1629,结束：2023-08-31,,,匹克Peak运动装备旗舰店,4.98,4.79,4.96,2023-04-18 21:15:06.656
"真空胎专用胶钉补胎电动车摩托车轮胎快速补胎骑行修补应急耐用",4.99,50.0%,2.5,已售：2414,结束：2024-07-07,,,小白优选百货个体店,4.9,4.98,4.91,2023-04-18 21:15:06.752
"【动起来】儿童聪明板平衡板室内跷跷板感统训练器材益智弯曲板",89.0,30.0%,26.7,已售：2.9万,结束：2023-04-30,10,93,DONGQILAI运动装备旗舰店,4.96,4.89,4.59,2023-04-18 21:15:06.836
"新款四件套书包女小学生校园初中大容量背包",39.9,13.0%,5.19,已售：3962,结束：2023-12-02,,,白沟新城甜泉箱包厂的小店,4.76,4.63,4.91,2023-04-18 21:15:06.916
"高尔夫新款女士春夏上衣女装户外运动长袖高弹运动速干球服LG2108",458.0,30.0%,137.4,已售：114,结束：2023-04-30,,,淘杆运动户外旗舰店,4.96,4.75,4.94,2023-04-18 21:15:06.991
"千寿鱼线上源100米钓鱼线主线进口尼龙线子线正品鱼线强拉力台钓",49.0,30.0%,14.7,已售：2565,结束：2023-04-30,40,171,千寿运动户外旗舰店,4.9,4.92,4.92,2023-04-18 21:15:07.063
"夏季新款女鞋小白鞋板鞋跑鞋透气运动鞋网面薄款休闲鞋女旅游鞋子",68.0,25.0%,17.0,已售：211,结束：2023-05-31,,,百顺商贸供应链,4.95,4.85,4.53,2023-04-18 21:15:07.139
"【拍一发二】牛角型锤背锤不求人痒痒挠颜色随机",6.99,10.0%,0.7,已售：8237,结束：2023-07-01,1283,3796,果然多云仓,4.75,3.08,4.24,2023-04-18 21:15:07.215
"【游山然粉丝专属】克米特户外折叠椅露营装备沙滩椅月亮椅户外椅",26.9,16.0%,4.3,已售：8064,结束：2023-12-31,189,516,领汇尼户外,4.78,4.86,4.42,2023-04-18 21:15:07.286
"5双装/樱花蕾丝防滑不掉跟浅口女隐形袜 棉底透气硅胶防掉跟短袜",15.8,19.0%,3.0,已售：12.6万,结束：2023-08-31,435,1001,家家乐选,4.95,4.98,4.74,2023-04-18 21:15:07.364
"民族风野餐垫野餐布沙滩防潮垫户外露营毯子帐篷地垫波西米亚地毯",20.0,25.0%,5.0,已售：499,结束：2024-03-25,,,朴素生活个体店,4.93,4.88,4.76,2023-04-18 21:15:07.447
"四件套学生书包女小学生初中生高中背包双肩包",39.9,13.0%,5.19,已售：6418,结束：2024-05-09,,,白沟新城甜泉箱包厂的小店,4.76,4.63,4.91,2023-04-18 21:15:07.533
"按摩梳头部梳子经络按摩梳 335",9.9,15.0%,1.48,已售：1344,结束：2024-04-30,,,永和电子商务,4.74,4.95,4.86,2023-04-18 21:15:07.612
"【粉丝福利】网球训练器套装初学者不限场地不用捡球男女通用",39.9,10.0%,3.99,已售：603,结束：2024-04-17,,,靓德供应链,4.83,4.98,4.97,2023-04-18 21:15:07.702
"南极人充电报数中考计数钢丝跳绳儿童小学生初学者用专业运动竞速",25.0,41.0%,10.25,已售：256,结束：2023-12-31,,,NANJIREN南极人健身训练旗舰店,4.99,4.93,4.98,2023-04-18 21:15:07.789
"Suppress升级三代悍马款三节棍加粗合金钢破窗器甩鞭辊",56.0,28.0%,15.68,已售：2.7万,结束：2024-09-01,,,Suppress运动户外旗舰店,4.85,4.81,4.83,2023-04-18 21:15:07.876
"阿丢自烤【爆款阿丢一次性烧烤炉】户外露营碳烤炉围炉煮茶烤肉炉",34.9,25.0%,8.72,已售：1.1万,结束：2023-05-31,130,319,阿丢自烤旗舰店,4.96,4.98,4.72,2023-04-18 21:15:07.960
"男女同款冰丝速干运动套装夏季短袖薄款T恤跑步短裤健身服渐变色",39.9,27.0%,10.77,已售：160,结束：2023-05-31,161,,孔雀扇运动户外旗舰店,4.87,4.57,4.55,2023-04-18 21:15:08.052
"鱼网粘网三层单层挂网一指半指沉网浮网捕鱼网丝网渔网小鱼白条网",20.9,10.0%,2.09,已售：1751,结束：2023-06-30,461,1237,鱼来乐渔具店,4.93,4.96,4.98,2023-04-18 21:15:08.143
"T-bell壶铃T型健身把手相扑深蹲硬拉把手奥杆杠铃可调节翘臀练臀",188.0,20.0%,37.6,已售：65,结束：2024-03-10,,,肌肉咖运动科技,4.69,4.51,4.35,2023-04-18 21:15:08.242
"essenuoto 女士连体泳衣长袖平角运动游泳衣防晒保守遮肚显瘦泳装",119.9,20.0%,23.98,已售：333,结束：2023-08-31,,,essenuoto运动户外旗舰店,4.95,4.78,4.66,2023-04-18 21:15:08.344
"薏凡特 大码专属 高强度底围可调 后背镂空拼接 运动背心女美背",239.0,30.0%,71.7,已售：160,结束：2023-12-01,1,8,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:15:08.444
"韶泰方块速燃炭烧烤碳无烟苹果木炭家用高温碳户外易燃炭块引火碳",27.8,30.0%,8.34,已售：256,结束：2023-10-01,,,韶泰运动户外旗舰店,4.87,4.69,4.7,2023-04-18 21:15:08.533
"撸铁肌肉健身运动裤男款束脚修身小脚裤训练裤卫裤跑步休闲裤弹力",76.0,25.0%,19.0,已售：975,结束：2023-04-30,,,GYMAUNS撸铁先生,4.64,4.62,4.88,2023-04-18 21:15:08.607
"MOGOLD专业花式跳绳拳击竞速运动健身专用男女生胶绳学生成人耐磨",39.9,45.0%,17.96,已售：598,结束：2024-03-01,27,124,MOGOLD跳绳,4.95,4.83,4.93,2023-04-18 21:15:08.675
"【宠粉专属】冰丝袖套薄款夏季开车骑电动车长袖冰爽防晒长筒袖",1.33,5.0%,0.07,已售：3.5万,结束：2024-04-01,4182,,老六啊老六,4.87,4.98,4.63,2023-04-18 21:15:08.747
"Warrior/回力春夏新款跑步鞋男鞋百搭运动鞋厚底阿甘鞋老爹鞋休闲",99.0,25.0%,24.75,已售：1359,结束：2023-07-31,18,77,回力瑜庆鞋类专卖店,4.87,4.67,4.93,2023-04-18 21:15:08.826
"超长续航强光灯一灯三用可usb充电超亮远射LED灯多功能",18.8,21.0%,3.95,已售：651,结束：2023-07-01,56,512,老子就搞五金,4.39,4.1,4.89,2023-04-18 21:15:08.893
"老马窝料 本c1400克 野河黑坑垂钓主攻鲫鱼鲤鱼钓友打底窝料酒米",20.0,20.0%,4.0,已售：1.1万,结束：2023-05-07,140,639,扬州老马窝料,4.85,4.53,4.98,2023-04-18 21:15:08.970
"9.9【3板30付】宠粉福利-子线双钩金袖鱼钩伊势尼伊豆金海夕鱼钩",3.3,16.0%,0.53,已售：2.7万,结束：2023-06-01,663,4386,淼海工厂直供店,4.88,4.94,4.47,2023-04-18 21:15:09.057
"【气垫鞋】斯凯奇UNO气垫泡泡鞋春夏男软底缓震跑鞋运动鞋52458",359.0,15.0%,53.85,已售：633,结束：2023-04-30,,,斯凯奇泉州专卖店,4.83,4.85,4.64,2023-04-18 21:15:09.133
"薏凡特高腰健身短裤 透气高弹夏季外穿运动速干 口袋设计可裁剪",269.0,30.0%,80.7,已售：21,结束：2024-03-28,,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:15:09.221
"爱帝女士高强度运动内衣文胸无痕无钢圈舒适美背聚拢背心小胸健身",79.0,21.0%,16.59,已售：2027,结束：2024-03-31,,,爱帝I'd内衣旗舰店,4.89,4.84,4.99,2023-04-18 21:15:09.308
"【MOMRUNING】高密锦纶裸感瑜伽裤女高腰蜜桃臀健身提臀裤紧身裤",59.0,30.0%,17.7,已售：178,结束：2023-04-30,,,MOMRUNING追晨,4.98,4.95,4.84,2023-04-18 21:15:09.396
"天火激光头灯强光充电超亮头戴式户外远射夜钓专用变焦感应长续航",188.0,8.0%,15.04,已售：165,结束：2023-05-31,,,天火SKY FIRE官方旗舰店,4.65,4.99,4.96,2023-04-18 21:15:09.486
"电子计数握力器女男士专业练腕力手臂肌锻炼手指训练可调节握手器",14.0,41.0%,5.74,已售：3047,结束：2023-12-31,,,源泉健身用品,4.95,4.93,4.96,2023-04-18 21:15:09.570
"专业运动健身跳绳初学者轴承负重室内外两用钢丝计数大球无绳跳绳",29.9,50.0%,14.95,已售：541,结束：2023-06-01,27,135,NANJIREN南极人健身训练旗舰店,4.99,4.93,4.98,2023-04-18 21:15:09.656
"天火小钢炮蓝眼升级款强光超亮手电筒户外远射可充电家用露营装备",238.0,8.0%,19.04,已售：7784,结束：2023-05-31,,,天火SKY FIRE官方旗舰店,4.65,4.99,4.96,2023-04-18 21:15:09.751
"天火头灯强光充电超亮头戴式户外露营装备变焦夜钓鱼专用超长续航",88.0,8.0%,7.04,已售：363,结束：2023-05-31,,,天火SKY FIRE官方旗舰店,4.65,4.99,4.96,2023-04-18 21:15:09.844
"SENMA/森马帆布鞋低帮情侣潮鞋夏季新款透气潮流百搭板鞋休闲布鞋",109.0,20.0%,21.8,已售：232,结束：2023-12-31,,,森马每天惠专卖店,4.86,4.05,4.15,2023-04-18 21:15:09.941
"【28调精工高碳素鱼竿】超轻超硬 垂钓搏大物 黑坑抢鱼 休闲垂钓",89.0,40.0%,35.6,已售：673,结束：2023-05-31,8,64,鲟龙士户外渔具,4.37,4.72,4.94,2023-04-18 21:15:10.041
"室内健身鞋静音跳绳训练防滑减震男软底健美操瑜伽舞蹈居家运动鞋",39.0,30.0%,11.7,已售：556,结束：2023-08-31,24,171,史悠特服饰旗舰店,4.97,4.85,4.96,2023-04-18 21:15:10.139
"【主播推荐】Miiow/猫人轻薄无痕无肩带隐形文胸内衣",79.9,20.0%,15.98,已售：161,结束：2023-10-01,,,猫人优选女装旗舰店,4.98,4.95,4.6,2023-04-18 21:15:10.224
"essenuoto品牌泳衣分体女士遮肉显瘦运动游泳衣短袖保守夏日泳装",129.9,20.0%,25.98,已售：506,结束：2023-08-31,,,essenuoto运动户外旗舰店,4.95,4.78,4.66,2023-04-18 21:15:10.292
"草鱼鲢鳙青鱼大物加强线组大力马金刚结加固耐磨尼龙主线支持定制",16.8,20.0%,3.36,已售：649,结束：2023-04-30,,,雄本大物工坊,4.95,4.84,4.94,2023-04-18 21:15:10.366
"壶铃女士健身家用锻炼手臂练臀器械提壶哑铃翘臀神器深蹲力量训练",59.0,20.0%,11.8,已售：1714,结束：2023-06-27,,,yottoy官方旗舰店,4.99,4.95,4.96,2023-04-18 21:15:10.443
"全不锈钢轴承纺车轮800-5000全型号可选北溟鱼远投无间隙丝滑抛投",289.0,20.0%,57.8,已售：298,结束：2023-05-31,,,北溟鱼官方旗舰店,4.8,4.96,4.72,2023-04-18 21:15:10.531
"essenuoto成人泳镜高清防水防雾男女通用不勒眼透明平光游泳眼镜",79.9,20.0%,15.98,已售：675,结束：2024-03-01,,,essenuoto运动户外旗舰店,4.95,4.78,4.66,2023-04-18 21:15:10.610
"鱼竿缠把带1.8米长铝合包装",6.9,15.0%,1.04,已售：4943,结束：2023-07-31,791,2169,波浪渔具,4.95,4.91,4.78,2023-04-18 21:15:10.693
"露营野餐垫户外郊游便携防水防潮野炊地垫加厚春游垫子",29.9,38.0%,11.36,已售：1.3万,结束：2024-02-29,19,152,不晚严选,4.94,4.87,4.65,2023-04-18 21:15:10.775
"牛津布野餐垫沙滩帐篷垫子防水防潮不沾草加厚便携式户外春游垫",29.9,35.0%,10.46,已售：1031,结束：2023-09-30,,,惠万家日用,4.11,4.85,4.48,2023-04-18 21:15:10.855
"分体式扭腰盘扭腰舞蹈转盘滑盘家用健身器材 ",29.9,40.0%,11.96,已售：2.6万,结束：2023-12-31,67,199,三叶草 体育,4.71,4.64,4.6,2023-04-18 21:15:10.941
"晨升瑜伽砖高密度成人儿童舞蹈砖块专用跳舞练功砖辅助工具泡沫砖",9.9,31.0%,3.07,已售：853,结束：2023-12-31,,,源泉健身用品,4.95,4.93,4.96,2023-04-18 21:15:11.018
"XTEP/特步竹节跳绳儿童小学生初学花样中考燃脂健身幼儿园专用绳",25.9,42.0%,10.88,已售：1038,结束：2023-12-31,29,199,特步宇霖专卖店,4.98,4.52,4.94,2023-04-18 21:15:11.106
"【伯希和】运动休闲T恤女薄百搭速干衣圆领跑步健身短袖速干男士",39.0,5.0%,1.95,已售：5086,结束：2026-08-31,,,伯希和官方旗舰店,4.97,4.9,4.98,2023-04-18 21:15:11.197
"TOSWIM宝宝防水游泳镜舒适防雾高清游泳训练沙滩度假玩水儿童泳镜",219.0,25.0%,54.75,已售：2961,结束：2023-08-31,,,TOSWIM官方旗舰店,4.97,4.99,4.99,2023-04-18 21:15:11.288
"【送吸管杯刷】吨吨桶吸管杯运动跑步吸管情侣大容量健身水桶篮球",19.8,28.0%,5.54,已售：389,结束：2024-06-28,,,蓝山家居生活馆,4.44,4.69,4.94,2023-04-18 21:15:11.381
"【YOW】 陆地冲浪板 西班牙正品carver路冲板长板刷街slide陆冲板",1902.0,15.0%,285.3,已售：7,结束：2023-04-30,,,极限户外运动装备店,4.52,4.54,4.55,2023-04-18 21:15:11.474
"巨光眼电摩车灯led强光改装电动车灯12V-80v通用踏板车灯夜行灯",28.99,26.0%,7.54,已售：4037,结束：2024-06-30,,,巨光眼户外配件旗舰店,4.88,4.46,4.98,2023-04-18 21:15:11.566
"千寿鱼线千隐钓线子线主线不打卷强拉力正品进口柔软钓鱼线台钓",69.0,30.0%,20.7,已售：2423,结束：2023-04-30,39,104,千寿运动户外旗舰店,4.9,4.92,4.92,2023-04-18 21:15:11.657
"北溟鱼北溟鱼短节软尾矶钓竿灵大导环28硬调多种玩法大物滑漂串钩",389.0,20.0%,77.8,已售：274,结束：2023-05-31,,,北溟鱼官方旗舰店,4.8,4.96,4.72,2023-04-18 21:15:11.754
"【1条装达人补贴】大号珊瑚绒浴巾超柔亲肤柔软吸水厚洗澡裹巾",8.8,13.0%,1.14,已售：1821,结束：2023-06-30,,,妙柔家居工厂店,4.94,4.99,4.61,2023-04-18 21:15:11.848
"薏凡特  户外运动防紫外线防风 轻薄透气连帽跑步健身宽松外套",459.0,35.0%,160.65,已售：136,结束：2024-02-29,,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:15:11.935
"吊床 吊椅 户外睡觉秋千 室内家用单双人 防侧翻透气加固耐磨舒适",9.9,20.0%,1.98,已售：2.2万,结束：2024-01-31,217,993,均辉户外,4.93,4.9,4.63,2023-04-18 21:15:12.012
"【外贸品质】独立四个装软毛牙刷舒适时尚防滑柔软清洁",15.0,20.0%,3.0,已售：2422,结束：2024-03-31,,,叶省商贸,4.12,4.73,4.89,2023-04-18 21:15:12.078
"【清仓特惠】初级便携折射天文望远镜F36050看月单筒望远镜含支架",89.9,26.0%,23.37,已售：39,结束：2023-04-30,,,弗恩森光学户外正品店,3.64,4.94,4.79,2023-04-18 21:15:12.156
"【运动护膝】专业运动护膝X型大硅胶跑步篮球户外足球膝盖保护",69.0,50.0%,34.5,已售：4891,结束：2024-03-01,7,42,菲弘运动优选个体店,4.97,4.74,4.86,2023-04-18 21:15:12.232
