商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"卡斐乐挂脖风扇无叶便携式迷你懒人学生小型超静音随身携带小风扇",69.9,20.0%,13.98,已售：2033,结束：2023-12-31,103,163,卡斐乐官方旗舰店,4.91,4.97,4.74,2023-04-18 20:20:15.310
"【膜掌门】PD快充数据线适用于苹果iPhone14 13 12平板ipad",2.59,30.0%,0.78,已售：1.4万,结束：2024-02-29,,,膜掌门数码旗舰店,4.69,4.85,3.59,2023-04-18 20:20:15.396
"Disney/迪士尼LK-09空气传导蓝牙耳机高颜值升级蓝牙耳机运动轻巧",49.9,35.0%,17.46,已售：2143,结束：2024-03-31,70,,普洛严选,4.93,4.76,4.66,2023-04-18 20:20:15.482
"联想蓝牙音箱便携式无线小音响重低音炮超大音量电脑手机安卓通用",29.9,15.0%,4.48,已售：2.3万,结束：2024-03-31,,,惠驰影音自营店,4.56,4.79,4.75,2023-04-18 20:20:15.569
"C8智能Ai触屏称重收银机双屏收银秤收款一体机水果生鲜零售系统",2788.0,5.0%,139.4,已售：77,结束：2023-12-31,,,芯友旗舰店,4.78,4.77,4.47,2023-04-18 20:20:15.663
"定时发热桌垫学生写作业桌面大号暖手桌垫办公室快捷键加热鼠标垫",29.9,21.0%,6.28,已售：12.4万,结束：2024-02-19,29,225,多多猫家居精选店,4.16,4.93,4.96,2023-04-18 20:20:15.762
"【声卡托盘话筒横杆支架】手机支架2.1米碳素钢三脚落地直播支架",66.9,26.0%,17.39,已售：2168,结束：2023-05-31,,,乐誉工数码配件旗舰店,4.73,4.62,4.53,2023-04-18 20:20:15.859
"迪士尼LK-09新耳机运动降噪高颜值便携式",49.9,34.0%,16.97,已售：1231,结束：2024-01-31,77,,普洛严选,4.93,4.76,4.66,2023-04-18 20:20:15.954
"【出西班牙】可折叠拉伸小风扇便携式充电风扇办公室宿舍可伸缩",29.9,20.0%,5.98,已售：4797,结束：2024-02-29,150,302,洋葱甄选,4.93,4.6,4.96,2023-04-18 20:20:16.040
"【EDIFIER/漫步者】花再ZeroBuds真无线蓝牙耳机半入耳式苹果安卓",168.0,15.0%,25.2,已售：1023,结束：2023-05-31,,,漫步者旗舰店,4.65,4.74,4.99,2023-04-18 20:20:16.140
"kaco买亚规笔芯10支装0.5黑，送love复古色5支装+心意套装中性笔",33.8,15.0%,5.07,已售：3568,结束：2023-07-15,,,kaco官方旗舰店,4.99,4.54,4.99,2023-04-18 20:20:16.239
"120W超级快充线三合一充电加粗安卓苹果type-c数据线一拖三通用",12.9,30.0%,3.87,已售：403,结束：2024-03-01,,,亿能,4.92,4.76,4.76,2023-04-18 20:20:16.399
"kaco菁点速干中性笔路边夜樱按动中性笔3支樱花文具高颜值2黑1粉",13.93,16.0%,2.23,已售：7027,结束：2023-12-08,142,707,kaco官方旗舰店,4.99,4.54,4.99,2023-04-18 20:20:16.510
"适用华为 66W 超级快充 /iPhone20WPD充电器套装",9.9,16.0%,1.58,已售：996,结束：2023-12-31,,,ios,4.99,4.97,4.41,2023-04-18 20:20:16.613
"pzoz机甲金属iwatch ultra保护壳苹果8代手表金属tpu表壳7/se潮",39.0,25.0%,9.75,已售：2053,结束：2023-05-31,43,130,pzoz数码旗舰店,4.77,4.76,4.84,2023-04-18 20:20:16.703
"电脑桌面机械键盘手托鼠标垫手托护腕垫掌托护手腕托柔软卡通动漫",19.9,20.0%,3.98,已售：4879,结束：2023-07-20,127,414,银韧YINREN旗舰店,4.93,4.97,4.97,2023-04-18 20:20:16.799
" ins网红掌门狗防摔软壳苹果14promax/iPhone13/12pro/11手机壳 ",17.9,20.0%,3.58,已售：1636,结束：2023-12-31,109,381,壳比家,4.85,4.92,4.7,2023-04-18 20:20:16.878
"【苹果华为】 ins克莱因蓝纯色褶皱手机壳 iphone14/13/11/12Pro/",19.0,20.0%,3.8,已售：2.6万,结束：2024-02-29,80,373,壳比家,4.85,4.92,4.7,2023-04-18 20:20:16.955
"苹果手机专用收音麦领夹式麦克风拍视频网红直播吃播话筒iPhone14",119.0,20.0%,23.8,已售：185,结束：2024-01-31,14,,TNVI影音旗舰店,4.74,4.84,4.91,2023-04-18 20:20:17.061
"摄影支架桌面直播架补光灯抖音拍摄视频网红直播支架使用多功能",300.0,35.0%,105.0,已售：20,结束：2024-04-30,,,飙歌达人宜艺集专卖店,4.68,4.95,4.75,2023-04-18 20:20:17.154
"华为弯头旋转数据线120W苹果快充数据线小米vivooppo荣耀typec",11.65,25.0%,2.91,已售：1055,结束：2024-02-01,121,487,英斯,4.69,4.61,4.01,2023-04-18 20:20:17.247
"黑鲨磁吸版手机散热器冰封制冷背夹降温神器磁吸苹果安卓手机通用",159.0,5.0%,7.95,已售：299,结束：2023-05-31,,,黑鲨电玩旗舰店,4.83,4.85,4.97,2023-04-18 20:20:17.335
"蓝牙2.4G无线有线三模机械键盘87键青轴黑轴茶轴红轴银轴游戏电",299.0,20.0%,59.8,已售：771,结束：2026-11-30,3,23,银韧YINREN旗舰店,4.93,4.97,4.97,2023-04-18 20:20:17.433
"PZOZ苹果手表表带 iwatch s8高山尼龙回环表带 22ultra新款轻薄潮",78.0,25.0%,19.5,已售：1333,结束：2023-12-31,15,67,pzoz数码旗舰店,4.77,4.76,4.84,2023-04-18 20:20:17.544
"2023新款空间音效无线超长续航高音质蓝牙耳机男女苹果安卓通用",12.99,20.0%,2.6,已售：539,结束：2026-05-10,,,蓝韵电子,4.61,4.85,4.67,2023-04-18 20:20:17.641
"适用苹果14手机壳13pro超薄透明12promax全包防尘磨砂不发黄硬壳",20.8,20.0%,4.16,已售：1702,结束：2023-05-31,83,333,迪普顿数码旗舰店,4.69,4.59,3.64,2023-04-18 20:20:17.734
"索爱话筒音响一体麦克风手机无线唱歌蓝牙K歌神器家用KTV儿童娱乐",75.0,15.0%,11.25,已售：3894,结束：2023-06-30,20,123,索爱耀来数码专卖店,4.64,4.95,4.71,2023-04-18 20:20:17.835
"pzoz适用苹果iwatch ultra表带尼龙野径回环8代se2/7/6/5/4/3新款",78.0,25.0%,19.5,已售：1191,结束：2023-05-31,14,69,pzoz数码旗舰店,4.77,4.76,4.84,2023-04-18 20:20:17.931
"海备思 卡片手机支架桌面金属超薄支撑架通用可折叠便携多功能架",26.0,20.0%,5.2,已售：1.1万,结束：2023-06-30,50,292,海备思官方旗舰店,4.99,4.98,4.99,2023-04-18 20:20:18.023
"YUTOOL 安卓数据线快充适用华为荣耀V10畅享8VIVO红米手机充电线",7.2,29.0%,2.09,已售：3.7万,结束：2023-09-30,166,697,YUTOOL数码旗舰店,4.98,4.98,4.62,2023-04-18 20:20:18.121
"品胜自带线10000毫安充电宝22.5W快充大容量小巧超薄便携移动电源",119.0,10.0%,11.9,已售：2804,结束：2023-11-30,7,81,品胜官方旗舰店,4.44,3.74,4.21,2023-04-18 20:20:18.238
"透明机甲炫彩灯蓝牙音箱V8双杠小钢炮低音振膜支持串联音响可充电",99.0,45.0%,44.55,已售：25,结束：2023-04-30,,,佐仕杰数码科技,4.59,3.45,4.38,2023-04-18 20:20:18.364
"Mamen慢门无线麦克风小蜜蜂KT-W1无线领夹麦领夹式单反相机手机",399.0,40.0%,159.6,已售：76,结束：2023-12-01,6,,慢门影音工厂店,4.79,4.08,4.6,2023-04-18 20:20:18.491
"无线领夹麦克风一拖二智能降噪手机专用采访户外直播收音录音设备",138.0,33.0%,45.54,已售：106,结束：2023-12-31,6,24,ZCJB旗舰店,4.97,4.91,4.72,2023-04-18 20:20:18.612
"【苹果华为】ins高级感博主小众斜挎水波纹手机壳苹果14/13/12/11",20.33,20.0%,4.07,已售：7553,结束：2024-02-29,72,289,壳比家,4.85,4.92,4.7,2023-04-18 20:20:18.700
"pzoz数显PD快充数据线iphone14 pro max手机充电线苹果13液晶屏显",39.0,25.0%,9.75,已售：222,结束：2023-12-31,,,pzoz数码旗舰店,4.77,4.76,4.84,2023-04-18 20:20:18.773
"Niye/耐也T12pro无线气传导蓝牙耳机运动防水超长续航跑步专用311",129.0,30.0%,38.7,已售：35,结束：2023-04-30,3,,Niye耐也官方旗舰店,4.53,4.99,4.92,2023-04-18 20:20:18.852
"ins高级感复古宝石镜面防摔华为苹果14promax/13/12pro/11手机壳 ",25.9,20.0%,5.18,已售：947,结束：2023-12-31,25,213,壳比家,4.85,4.92,4.7,2023-04-18 20:20:18.944
"【MOKOKIMO联名限定款】倍思真无线蓝牙耳机手办套装礼物可爱公仔",159.0,20.0%,31.8,已售：2245,结束：2023-11-30,7,31,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:20:19.029
"萌宠自带线充电宝20000毫安便携移动电源便携大容量可爱手机通用",39.9,25.0%,9.98,已售：125,结束：2025-06-13,5,,好之品,4.92,4.99,4.95,2023-04-18 20:20:19.118
"本腾【2023年新款】随身wifi无线网卡路由设备免插便携式宽带神器",69.0,60.0%,41.4,已售：92,结束：2023-12-31,14,32,本腾蓝湾网络专卖店,4.78,4.98,4.97,2023-04-18 20:20:19.227
"苹果华为ins高级简约风立体条纹防摔手机壳14/13/12/11/x/max/xs",21.9,20.0%,4.38,已售：3432,结束：2024-02-29,20,269,壳比家,4.85,4.92,4.7,2023-04-18 20:20:19.333
"露标磁吸苹果14promax手机壳新款iPhone14带镜头膜13防尘12透明套",32.0,20.0%,6.4,已售：234,结束：2023-07-31,,,羊咩咩配件,4.76,4.65,4.44,2023-04-18 20:20:19.421
"索爱户外广场舞音响移动拉杆蓝牙音箱唱歌K歌大音量播放器带话筒",148.0,10.0%,14.8,已售：439,结束：2023-06-30,18,75,索爱耀来数码专卖店,4.64,4.95,4.71,2023-04-18 20:20:19.506
"Disney/迪士尼正版2023新款真无线降噪蓝牙耳机苹果华为手机通用",29.9,25.0%,7.48,已售：151,结束：2023-04-30,,,飞舟专营店,4.34,4.77,4.79,2023-04-18 20:20:19.597
"【主播补贴】中性笔20支笔＋50支笔芯 黑色细头不断墨",9.9,16.0%,1.58,已售：10.6万,结束：2024-02-01,124,856,星脉小店,4.75,3.72,4.15,2023-04-18 20:20:19.691
"可伸缩书立动漫创意ins风太空卡通阅读可爱立书的架子收缩折叠3D",26.9,25.0%,6.72,已售：5.1万,结束：2023-08-31,,,优象玩具专营店,4.98,4.84,4.75,2023-04-18 20:20:19.800
"高级感气质腕带皮质壳防摔苹果14promax/13/12pro/11手机壳  ",35.9,20.0%,7.18,已售：205,结束：2023-12-31,,,壳比家,4.85,4.92,4.7,2023-04-18 20:20:19.897
"【工厂直发】露思同款涂鸦手机壳-送钢化膜-曲面屏是软膜",8.8,16.0%,1.41,已售：950,结束：2024-04-01,25,,名茜工厂企业店,4.49,4.79,3.35,2023-04-18 20:20:20.000
"外贸品质 USB风扇充电小型续航宿舍夹式静音大风婴儿户外旋转循环",24.9,15.0%,3.74,已售：1394,结束：2024-04-01,13,,KESIJAR旗舰店,4.98,4.92,4.9,2023-04-18 20:20:20.103
"EZON/宜准运动手表男心率手表户外跑步手表智能手表电子手表T935",799.0,20.0%,159.8,已售：15,结束：2023-07-31,,,EZON宜准手表旗舰店,4.86,4.64,4.62,2023-04-18 20:20:20.201
"小学生古诗词背诵打卡计划复习计划本艾宾浩斯记忆本背诵本",46.9,30.0%,14.07,已售：16.4万,结束：2023-07-09,21,96,易蓓文教,4.92,4.96,4.67,2023-04-18 20:20:20.300
"【下播恢复709元】佳能TS3480彩色A4喷墨无线打印复印扫描打印机",919.0,6.0%,55.14,已售：1.3万,结束：2024-05-31,21,,佳能盛瑞打印机专卖店,4.93,4.92,4.97,2023-04-18 20:20:20.419
"闪魔【闪贴宝】适用苹果14/13/12/11/xr/红米/华为钢化膜贴膜神器",18.8,20.0%,3.76,已售：4052,结束：2024-03-01,,,闪魔SMARTDEVIL官方旗舰店,4.93,4.97,4.74,2023-04-18 20:20:20.517
"魔声M98K歌麦克风音响话筒大音量手机电脑通用",398.0,40.0%,159.2,已售：4,结束：2023-08-31,,,魔声畅想数码专营店,4.63,4.78,4.12,2023-04-18 20:20:20.610
"【靓点拍】手机蓝牙自拍杆支架拍照拍视频多功能蓝牙遥控三脚架",39.9,20.0%,7.98,已售：1258,结束：2023-09-01,,,靓点拍数码旗舰店,4.96,4.93,4.8,2023-04-18 20:20:20.722
"手机直播支架三脚架桌面拍照拍摄带补光灯懒人主播设备全套支撑架",44.0,30.0%,13.2,已售：206,结束：2024-04-30,,,飙歌达人宜艺集专卖店,4.68,4.95,4.75,2023-04-18 20:20:20.797
"华太5号7号干电池普通碳性1.5V空调电视遥控器闹钟环保低功耗专用",6.9,18.0%,1.24,已售：2.7万,结束：2024-09-30,375,1096,华太官方旗舰店,4.99,4.6,4.77,2023-04-18 20:20:20.882
"【靓点拍】手机稳定器智能防抖自拍杆手持云台拍vlog拍照平衡支架",169.0,25.0%,42.25,已售：470,结束：2023-10-07,12,24,靓点拍数码旗舰店,4.96,4.93,4.8,2023-04-18 20:20:20.964
"隐形补妆镜支架苹果14promax手机壳iphone14镜头膜12渐变13女11pm",32.0,20.0%,6.4,已售：183,结束：2023-07-31,,,羊咩咩配件,4.76,4.65,4.44,2023-04-18 20:20:21.046
"黑色DIY小狗斜挎卡包iphone13手机壳苹果12保护套新款11气质挂绳",16.88,20.0%,3.38,已售：1350,结束：2024-05-10,275,,邻家有女,4.73,4.83,4.31,2023-04-18 20:20:21.133
"【语音空调控制器】声控空调万能遥控器小夜灯语音通用款插电就用",49.9,40.0%,19.96,已售：98,结束：2023-05-01,,,掌间优品,4.46,4.72,4.75,2023-04-18 20:20:21.225
"车载户外冰箱6L母乳美妆小冰箱车家两用宿舍办公室单门式冷暖箱 ",199.0,20.0%,39.8,已售：10,结束：2024-05-01,,,源顺个体店,4.89,4.94,4.93,2023-04-18 20:20:21.308
"Picun/品存B-01S无线蓝牙头戴式耳机音乐学习长续航好看降噪学生",89.9,18.0%,16.18,已售：467,结束：2024-01-31,16,72,Picun品存旗舰店,4.67,4.59,4.63,2023-04-18 20:20:21.420
"品胜自带线10000毫安充电宝超薄22.5WPD双向快充18w移动电源20000",89.0,10.0%,8.9,已售：555,结束：2023-12-31,26,127,测码哈哈,4.99,4.82,4.98,2023-04-18 20:20:21.515
"【靓点拍】蓝牙手机自拍杆三脚架直播支架美颜补光灯桌面拍照视频",89.0,30.0%,26.7,已售：190,结束：2024-01-01,1,34,靓点拍数码旗舰店,4.96,4.93,4.8,2023-04-18 20:20:21.609
"适用苹果14手机壳iPhone14promax肤感磨砂Magsafe磁吸壳13pro男12",26.8,8.0%,2.14,已售：676,结束：2023-08-31,,,阿牛壳栈手机壳,4.7,4.75,4.25,2023-04-18 20:20:21.705
"【粉丝福利】骨传导蓝牙耳机真无线运动跑步不入耳挂耳夹式",69.9,30.0%,20.97,已售：43,结束：2024-03-01,,,鸣乾世纪,4.7,4.79,4.59,2023-04-18 20:20:21.803
"夕米笔记本电脑支架托架苹果平板散热器增高底座升降折叠铝合金",29.9,15.0%,4.48,已售：5241,结束：2023-04-30,39,255,夕米旗舰店,4.91,4.65,4.7,2023-04-18 20:20:21.896
"星联盟/星联盟HP惠普1212彩色喷墨电脑手机家用学生小型打印机",399.0,10.0%,39.9,已售：258,结束：2023-10-31,,,双一流学习机打印机批发,4.58,3.43,4.87,2023-04-18 20:20:22.000
"儿童学习机器人 WIFI版早教故事机 听歌听故事辅导学习智能机器人",29.9,20.0%,5.98,已售：1.6万,结束：2024-11-30,53,159,街米智能设备旗舰店,4.63,4.63,4.35,2023-04-18 20:20:22.101
"EZON/宜准跑步运动健身防水智能穿戴安卓苹果适用心率臂带",199.0,20.0%,39.8,已售：174,结束：2023-07-31,2,28,EZON宜准手表旗舰店,4.86,4.64,4.62,2023-04-18 20:20:22.200
"直播发丝聚光灯轮廓补光灯摄影灯 COB氛围聚光灯人像发型发丝灯",92.68,30.0%,27.8,已售：42,结束：2023-07-31,,,逸听数码,4.83,4.99,4.94,2023-04-18 20:20:22.317
"【激光导航 扫拖一体】360扫地机器人X100 Max家用无线自动吸尘器",1299.0,20.0%,259.8,已售：62,结束：2023-05-31,3,,360官方旗舰店,4.46,4.97,4.99,2023-04-18 20:20:36.821
"【千万补贴】AS32-50王牌电视机防爆智能超清液晶网络语音电视机",399.0,13.0%,51.87,已售：18,结束：2024-04-01,,,王牌智能电器,4.78,4.74,4.57,2023-04-18 20:20:36.919
"【粉丝福利】快充三合一数据线颜色随机1.2米液态一拖三充电线",2.98,16.0%,0.48,已售：28.3万,结束：2023-09-30,349,2437,网义严选,4.93,4.73,4.74,2023-04-18 20:20:36.998
"得力胶带座透明胶带学生文具胶纸切割器小号办公胶布机胶条台切割",4.5,10.0%,0.45,已售：3401,结束：2023-04-30,,,粤丰办公用品专营店,4.99,4.7,4.91,2023-04-18 20:20:37.077
"苹果华为搞怪趣味猫狗镜面防摔苹果14promax/13/12pro/11手机壳  ",20.9,20.0%,4.18,已售：305,结束：2023-12-31,,,壳比家,4.85,4.92,4.7,2023-04-18 20:20:37.156
"pzoz苹果8手表表带米兰尼斯iWatch ultra金属磁吸s8/7/6/5/se表带",35.8,35.0%,12.53,已售：6458,结束：2023-05-31,28,86,pzoz数码旗舰店,4.77,4.76,4.84,2023-04-18 20:20:37.241
"扬子全自动洗衣机直播15公斤家用大容量洗衣机两用商用机洗触摸屏",530.0,10.0%,53.0,已售：18,结束：2024-02-29,,,天津三菱电器工厂店,4.9,4.83,4.65,2023-04-18 20:20:37.318
"【官方正品】新款数学宝KOOOL科物酷儿童新款口算练习机加减乘除",149.0,25.0%,37.25,已售：2850,结束：2023-08-31,,,KOOOL科物酷母婴玩具旗舰店,4.86,4.96,4.6,2023-04-18 20:20:37.399
"无线领夹小蜜蜂扩音器教师专用户外导游讲上课耳麦克风教学便携式",129.0,20.0%,25.8,已售：407,结束：2024-01-31,,,TNVI影音旗舰店,4.74,4.84,4.91,2023-04-18 20:20:37.488
"倍思车载手机支架汽车中控台出风口导航支架卡扣式稳固可旋转通用",49.0,20.0%,9.8,已售：1.3万,结束：2023-06-30,28,113,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:20:37.576
"联想无线挂脖蓝牙耳机颈挂式入耳降噪跑步运动游戏安卓苹果通用",29.9,15.0%,4.48,已售：1.4万,结束：2023-06-30,37,242,谦煜影音专营店,4.63,4.85,4.73,2023-04-18 20:20:37.660
"蓝牙耳机苹果/安卓Huawei无线通用单双耳HIFI音质入耳式高音质",39.0,40.0%,15.6,已售：244,结束：2023-10-08,6,60,诺必行工厂直销店个体店,4.45,4.75,4.71,2023-04-18 20:20:37.750
"适用华为 66W 超级快充 /iPhone20WPD充电器套装",9.9,8.0%,0.79,已售：1388,结束：2024-05-31,,,ios,4.99,4.97,4.41,2023-04-18 20:20:37.881
"新款海贼王海报牛皮纸悬赏令大全高清复古贴纸（28.5*42）厘米",18.8,20.0%,3.76,已售：1.3万,结束：2025-05-31,73,308,抖抖动漫屋,4.83,4.9,3.11,2023-04-18 20:20:37.972
"Gravastar重力星球P5蓝牙无线耳机深度降噪超长续航时尚变装礼物",379.0,15.0%,56.85,已售：27,结束：2024-03-08,4,,置联数码科技,4.58,4.62,4.66,2023-04-18 20:20:38.079
"ins韩系彩配饰镜面防摔苹果14promax/13/12pro/11女款创意手机壳 ",25.9,20.0%,5.18,已售：1559,结束：2023-12-31,,,壳比家,4.85,4.92,4.7,2023-04-18 20:20:38.177
"YUTOOL超长待机颈戴式挂脖运动蓝牙耳机高音质听歌跑步手机通用",19.8,17.0%,3.37,已售：2.7万,结束：2024-03-31,86,309,YUTOOL数码旗舰店,4.98,4.98,4.62,2023-04-18 20:20:38.274
"ins风搞怪趣味文字别烦美女防摔手机壳苹果13promax/12pro/11个性",17.9,20.0%,3.58,已售：2124,结束：2024-02-29,42,255,壳比家,4.85,4.92,4.7,2023-04-18 20:20:38.373
"苹果/华为/小米/OPPO/VIVOins渐变玫瑰手机壳全包硅胶软壳防摔女",5.99,25.0%,1.5,已售：853,结束：2024-02-01,40,691,仪宝严选,4.86,4.97,4.05,2023-04-18 20:20:38.474
"新品笔记本电脑全新15.6寸11代CPU商务办公本RBX05",1399.0,11.0%,153.89,已售：38,结束：2023-05-31,,,DERE戴睿博秀笔记本电脑专卖店,4.99,4.68,4.74,2023-04-18 20:20:38.577
"HNY无线蓝牙音箱低音炮大音量双音响迷你便携式随身插卡小音响",29.9,26.0%,7.77,已售：1420,结束：2023-06-30,27,137,HNY影音数码旗舰店,4.86,4.94,4.66,2023-04-18 20:20:38.700
"夕米笔记本旋转支架升降折叠散热碳素钢支架游戏本苹果华为通用",79.0,15.0%,11.85,已售：462,结束：2023-05-31,28,83,夕米旗舰店,4.91,4.65,4.7,2023-04-18 20:20:38.828
"苹果华为 ins高级纯色丝绸褶皱情侣防摔手机壳苹果14/13/12/11",21.9,20.0%,4.38,已售：4680,结束：2024-02-29,35,207,壳比家,4.85,4.92,4.7,2023-04-18 20:20:38.905
"便携式插卡挂件音乐播放器小音箱充电24小时循环数字选曲耳机挂脖",129.0,30.0%,38.7,已售：30,结束：2023-04-30,,,北京志音文化科技有限公司的小店,4.74,4.72,4.75,2023-04-18 20:20:38.993
"大力智能学习灯T6pro/Y6/T5英语学习神器学生儿童点读机家教智能",498.0,15.0%,74.7,已售：132,结束：2024-03-31,,,信通志远专营店,4.44,3.63,4.87,2023-04-18 20:20:39.065
"新款铝合金手机支架旋转折叠懒人支架便捷金属桌面平板支架升降",13.14,25.0%,3.28,已售：351,结束：2023-10-31,,,夏新迈月智能科技,4.99,4.85,4.98,2023-04-18 20:20:39.145
"范博士学习机学生平板电脑同步教材幼儿小学初高中英语点读家教机",228.0,40.0%,91.2,已售：13,结束：2024-02-01,,,壹哲优选百货商行个体店,4.39,4.15,4.18,2023-04-18 20:20:39.233
"早教蓝牙版多功能AI语音儿童故事机听歌听故事对话聊天早教机器人",19.99,5.0%,1.0,已售：841,结束：2024-04-06,,,街米智能设备旗舰店,4.63,4.63,4.35,2023-04-18 20:20:39.314
"SUODAJIA/索达佳数码相机入门级学生高清WiFi传输便携复古相机4K",568.0,8.0%,45.44,已售：24,结束：2023-04-30,,,索达佳的宝藏好物店,4.18,4.91,4.59,2023-04-18 20:20:39.396
"联想无线蓝牙音箱支持组网TWS串联无线便携式室内小音响手机通用",29.9,15.0%,4.48,已售：1.3万,结束：2023-06-30,35,190,谦煜影音专营店,4.63,4.85,4.73,2023-04-18 20:20:39.486
"Amoi/夏新运动健身真无线蓝牙耳机双耳挂耳式防水防汗健美操不掉",59.9,20.0%,11.98,已售：415,结束：2023-10-08,14,76,诺必行工厂直销店个体店,4.45,4.75,4.71,2023-04-18 20:20:39.587
"迪士尼F9高颜值可爱TWS无线蓝牙耳机入耳式男女生款安卓苹果通用",49.9,25.0%,12.48,已售：7787,结束：2024-02-14,16,79,谦煜影音专营店,4.63,4.85,4.73,2023-04-18 20:20:39.684
"散热手机支架半导体散热器桌面支架手机散热器直播专用通用背夹式",49.9,15.0%,7.48,已售：265,结束：2024-02-10,40,126,百博电子科技企业店,4.98,4.92,4.98,2023-04-18 20:20:39.780
"【优可品创】苹果/华为/oppo/VIVO/小米美乐迪库洛米情侣手机壳",14.9,50.0%,7.45,已售：1.2万,结束：2023-11-01,,,旺达通优品个体店,4.92,4.89,4.38,2023-04-18 20:20:39.874
"YUTOOL一拖三充电线三合一充电线手机充电线适用小米OPPO苹果安卓",12.8,29.0%,3.71,已售：2.8万,结束：2023-09-30,38,275,YUTOOL数码旗舰店,4.98,4.98,4.62,2023-04-18 20:20:39.969
"【苹果】ins冷淡风陨石金属腕带网红款电镀手机壳iPhone14/13/12",25.9,20.0%,5.18,已售：4687,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:20:40.071
"led胸牌酒吧KTV员工电子号牌胸卡e代驾灯牌工作牌发光滚动走字屏",26.0,10.0%,2.6,已售：980,结束：2023-10-01,,,贝彩之光旗舰店,4.58,4.56,4.78,2023-04-18 20:20:40.165
"DOWO【粉丝福利】抖王dw-18家用户外K歌无线蓝牙音箱有彩灯送话筒",29.9,18.0%,5.38,已售：8534,结束：2023-06-15,3,140,星之耀数码影音,4.3,4.9,4.88,2023-04-18 20:20:40.262
"罗技鼠标垫超大男生电竞游戏办公大号电脑桌垫加厚锁边粗面细面",10.9,22.0%,2.4,已售：7671,结束：2023-05-01,86,421,乐真好物,4.95,4.69,4.99,2023-04-18 20:20:40.362
"无尘膜速贴适用苹果13高清钢化膜iPhone14手机13Pro全屏14Pro防窥",39.99,25.0%,10.0,已售：2492,结束：2023-12-31,22,98,KRYFG克里夫旗舰店,4.94,4.99,4.76,2023-04-18 20:20:40.462
"【精选浮力】宇航员太空人梦想家卡通蓝牙耳机双耳入耳塞式",29.9,26.0%,7.77,已售：6058,结束：2023-10-31,85,,纽邦智能设备专营店,4.66,4.45,4.75,2023-04-18 20:20:40.558
"旺厨好太太油烟机7字型家用顶侧双吸语音挥手控制26立方大风量",799.0,20.0%,159.8,已售：247,结束：2023-07-22,,,厨房电器优选,4.44,4.43,4.59,2023-04-18 20:20:40.651
"YRKR/雅肯直播主播专用可插声卡二次元电竞游戏低延迟蓝牙耳机",128.0,24.0%,30.72,已售：42,结束：2023-04-30,4,,YRKR雅肯,4.48,4.29,4.35,2023-04-18 20:20:40.733
"【苹果】韩风网红魔镜镜面补妆镜防摔手机壳iPhone14/13/12/11",23.9,20.0%,4.78,已售：3843,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:20:40.810
"【粉丝福利】小黄鸭风扇可折叠便携收纳桌面学生宿舍电小风扇USB",29.9,20.0%,5.98,已售：8975,结束：2023-08-01,77,167,云朵家居优选,4.14,4.47,4.67,2023-04-18 20:20:40.887
"DP久量超级快充数据线快速不伤机充电线typec",29.9,10.0%,2.99,已售：5.8万,结束：2023-10-29,38,340,久量数码配件旗舰店,4.96,4.78,4.41,2023-04-18 20:20:40.975
"销售成本利润日报表店铺记账本收入支出记录本仓库管理营业收入",15.8,58.0%,9.16,已售：1070,结束：2023-12-01,,,得财树工厂店,4.99,4.69,4.68,2023-04-18 20:20:41.052
"kaco菁点海洋物语0.5黑色按动中性笔3支套装学生书写刷题办公文具",12.35,16.0%,1.98,已售：8369,结束：2023-12-08,122,486,kaco官方旗舰店,4.99,4.54,4.99,2023-04-18 20:20:41.156
"EZON/宜准户外智能跑步表运动男GPS多功能防水时尚电子手表E1",899.0,20.0%,179.8,已售：23,结束：2023-07-31,3,,EZON宜准手表旗舰店,4.86,4.64,4.62,2023-04-18 20:20:41.235
"【新款双轴防抖自拍杆】1.5米机械防抖航空铝杆手机直播支架一名",69.9,30.0%,20.97,已售：8954,结束：2023-06-30,13,40,一摄企业店,4.85,4.71,4.88,2023-04-18 20:20:41.320
"【外贸高货】出口USB静音多功能风扇带夜灯便携式小风扇送挂钩",20.0,8.0%,1.6,已售：1364,结束：2024-08-31,,,欧创家居馆,4.85,4.73,4.93,2023-04-18 20:20:41.406
"HP/惠普【红黑版K10G单键盘】电竞游戏机械键盘有线全键无冲混光",139.9,10.0%,13.99,已售：352,结束：2023-06-30,12,64,惠普数码配件旗舰店,4.71,4.91,4.93,2023-04-18 20:20:41.497
"仙剑奇侠传1-7中文高清合集  新仙剑 仙剑5前传 电脑端  怀旧经典",39.9,50.0%,19.95,已售：400,结束：2023-06-30,5,48,星凡游戏,4.83,4.66,4.91,2023-04-18 20:20:41.585
"高清AI投影仪智能可语音换视频高端投影仪【木瓜王子】",399.0,24.0%,95.76,已售：5,结束：2024-04-10,,,日创供应链,4.72,4.01,4.49,2023-04-18 20:20:41.676
